,postal_code,postal_code_trimmed,state,postal_code_prefix,uk_region,postal_code_district
0,PH44,PH,Scotland,PH,Scotland,Perth
1,LE13,LE,England,LE,East Midlands,Leicester
2,LE14,LE,England,LE,East Midlands,Leicester
3,WR11,WR,England,WR,West Midlands,Worcester
4,BA8,BA,England,BA,South West,Bath
5,WR6,WR,England,WR,West Midlands,Worcester
6,CO5,CO,England,CO,East of England,Colchester
7,WR10,WR,England,WR,West Midlands,Worcester
8,WR11,WR,England,WR,West Midlands,Worcester
9,CM5,CM,England,CM,East of England,Chelmsford
10,CM6,CM,England,CM,East of England,Chelmsford
11,HR2,HR,England,HR,West Midlands,Hereford
12,ME14,ME,England,ME,South East,Medway
13,ST13,ST,England,ST,West Midlands,Stoke on Trent
14,TD11,TD,Scotland,TD,Scotland,Galashiels
15,PR6,PR,England,PR,North West,Preston
16,LD1,LD,Wales,LD,Wales,Llandrindod
17,EX14,EX,England,EX,South West,Exeter
18,EX15,EX,England,EX,South West,Exeter
19,SY4,SY,England,SY,Wales,Shrewsbury
20,LA2,LA,England,LA,North West,Lancaster
21,CA7,CA,England,CA,North West,Carlisle
22,EX22,EX,England,EX,South West,Exeter
23,DE13,DE,England,DE,East Midlands,Derby
24,ST14,ST,England,ST,West Midlands,Stoke on Trent
25,WS15,WS,England,WS,West Midlands,Walsall
26,HP3,HP,England,HP,East of England,Hemel
27,WD4,WD,England,WD,Greater London,Watford
28,WD5,WD,England,WD,Greater London,Watford
29,BS20,BS,England,BS,South West,Bristol
30,BS8,BS,England,BS,South West,Bristol
31,WR7,WR,England,WR,West Midlands,Worcester
32,PE28,PE,England,PE,East England,Peterborough
33,WR11,WR,England,WR,West Midlands,Worcester
34,WR5,WR,England,WR,West Midlands,Worcester
35,SO21,SO,England,SO,South East,Southampton
36,SO23,SO,England,SO,South East,Southampton
37,DT3,DT,England,DT,South West,Dorchester
38,RH15,RH,England,RH,South East,Redhill
39,EX39,EX,England,EX,South West,Exeter
40,TQ12,TQ,England,TQ,South West,Torquay
41,PE19,PE,England,PE,East England,Peterborough
42,SG19,SG,England,SG,East of England,Stevenage
43,SO24,SO,England,SO,South East,Southampton
44,GL3,GL,England,GL,South West,Gloucester
45,SO24,SO,England,SO,South East,Southampton
46,SP11,SP,England,SP,South West,Salisbury
47,SY7,SY,England,SY,Wales,Shrewsbury
48,SY7,SY,England,SY,Wales,Shrewsbury
49,S62,S,England,S,Yorkshire and the Humber,Sheffield
50,S64,S,England,S,Yorkshire and the Humber,Sheffield
51,GL14,GL,England,GL,South West,Gloucester
52,GL17,GL,England,GL,South West,Gloucester
53,SA38,SA,Wales,SA,Wales,Swansea
54,SA44,SA,Wales,SA,Wales,Swansea
55,LD3,LD,Wales,LD,Wales,Llandrindod
56,SY23,SY,Wales,SY,Wales,Shrewsbury
57,SA40,SA,Wales,SA,Wales,Swansea
58,LL11,LL,Wales,LL,Wales,Llandudno
59,LL14,LL,Wales,LL,Wales,Llandudno
60,LL57,LL,Wales,LL,Wales,Llandudno
61,SY10,SY,Wales,SY,Wales,Shrewsbury
62,SA46,SA,Wales,SA,Wales,Swansea
63,CF44,CF,Wales,CF,Wales,Cardiff
